cycle,Q_charge_Ah,Q_dis_Ah,coul_eff,energy_eff,Tmax_C,Vmin_V,Vmax_V,Q_model_Ah,R_model_ohm,condition
0,4.016666666666667,4.002777777777778,0.996542185338866,1.126545174710444,25.999949700257318,2.857920110326781,4.32980914323176,5.0,0.02,baseline_25C_1C
1,4.013888888888889,4.0,0.9965397923875432,1.1266023149859674,26.000767120701234,2.85784879662709,4.329304962718994,4.9987937684801835,0.020016354866050134,baseline_25C_1C
2,4.013888888888889,4.0,0.9965397923875432,1.1266319475040825,26.001326552315717,2.8578029426466043,4.329640201938935,4.997630403148483,0.02002754406430319,baseline_25C_1C
3,4.011111111111111,3.9972222222222222,0.9965373961218836,1.126708240053741,26.00250234920812,2.857702294993606,4.329350563981779,4.995681095508857,0.020051066867905504,baseline_25C_1C
4,4.011111111111111,3.9972222222222222,0.9965373961218836,1.1267628232713158,26.00348779678791,2.8576173402572143,4.329825188920301,4.994118881633043,0.020070776822034023,baseline_25C_1C
5,4.008333333333334,3.9944444444444445,0.9965349965349964,1.1268287262683778,26.004490316092166,2.857533114797204,4.329492029070216,4.992276189315107,0.02009083394739325,baseline_25C_1C
6,4.008333333333334,3.9944444444444445,0.9965349965349964,1.1268973237956643,26.005758160609137,2.857427093960392,4.330192761542447,4.989897587445926,0.020116192134777663,baseline_25C_1C
7,4.0055555555555555,3.9916666666666667,0.9965325936199723,1.1269469844917184,26.006541822507778,2.8573695755269886,4.32997000769665,4.987508970962558,0.020131871937649322,baseline_25C_1C
8,4.002777777777778,3.988888888888889,0.996530187369882,1.1269914804695937,26.007222299485267,2.8573198736995833,4.3296664092431305,4.98540784542116,0.020145487976665568,baseline_25C_1C
9,4.002777777777778,3.988888888888889,0.996530187369882,1.1270296295390556,26.007935302913378,2.8572608717411248,4.330077372203878,4.984000042471065,0.020159748782840627,baseline_25C_1C
10,4.002777777777778,3.988888888888889,0.996530187369882,1.1270607121989096,26.008519359434022,2.8572127700364356,4.330419875881326,4.982820029834901,0.020171430517468846,baseline_25C_1C
11,4.0,3.986111111111111,0.9965277777777778,1.1271015804896547,26.00907157907281,2.857167432333322,4.329869072492548,4.9816850536326545,0.020182481324170293,baseline_25C_1C
12,4.0,3.986111111111111,0.9965277777777778,1.127137591108658,26.009756426130185,2.8571119611740787,4.330296579653068,4.9801984103547365,0.020196178977768747,baseline_25C_1C
13,3.9972222222222222,3.9833333333333334,0.9965253648366922,1.1271891458790908,26.010520011767902,2.8570505161302258,4.329904372493465,4.978493723370323,0.020211457368726555,baseline_25C_1C
14,3.9972222222222222,3.9833333333333334,0.9965253648366922,1.1272404990143554,26.011414590995738,2.8569699443822407,4.3302390056730955,4.977477319327174,0.02022934988912814,baseline_25C_1C
15,3.9972222222222222,3.9833333333333334,0.9965253648366922,1.1272804471281705,26.012118950034473,2.856907329965361,4.330524958971997,4.976582235160063,0.020243437806752203,baseline_25C_1C
