cycle,Q_charge_Ah,Q_dis_Ah,coul_eff,energy_eff,Tmax_C,Vmin_V,Vmax_V,Q_model_Ah,R_model_ohm,condition
0,4.022222222222222,4.0055555555555555,0.9958563535911602,1.2679882153757513,38.987831272088805,2.7131563065833713,4.457772959909007,5.0,0.02,stress_35C_2C
1,4.016666666666667,4.0,0.995850622406639,1.268189371779188,38.993375203482174,2.7129588504771616,4.457279442654885,4.995347243673884,0.020028176134068553,stress_35C_2C
2,4.011111111111111,3.9944444444444445,0.9958448753462604,1.2684431680792279,39.00042342482625,2.712688645649459,4.4568970541275235,4.990554057044463,0.02006390041928596,stress_35C_2C
3,4.011111111111111,3.9944444444444445,0.9958448753462604,1.2686916522879832,39.00848490851506,2.7123567243822966,4.458368805845863,4.986573664044863,0.02010433234080699,stress_35C_2C
4,4.0055555555555555,3.988888888888889,0.9958391123439667,1.2688869586123277,39.0136888393919,2.712165731039677,4.457693167631577,4.982523967198521,0.020130811057220258,stress_35C_2C
5,4.0055555555555555,3.988888888888889,0.9958391123439667,1.2691428590899863,39.021783482503835,2.711821247416283,4.459004226551817,4.979152953267487,0.020171410051707202,stress_35C_2C
6,4.0,3.9833333333333334,0.9958333333333333,1.2694481024982402,39.029758428982525,2.7114731803637926,4.458197206025109,4.976101320573602,0.02021179140157525,stress_35C_2C
7,4.0,3.9833333333333334,0.9958333333333333,1.269667175025907,39.036738101937445,2.711179082736021,4.459369775393672,4.973041287440439,0.020246798883116028,stress_35C_2C
8,3.9944444444444445,3.977777777777778,0.9958275382475661,1.2699488197655573,39.04403057591721,2.710864128735281,4.458508383989389,4.9700562924626155,0.02028376183152024,stress_35C_2C
9,3.9944444444444445,3.977777777777778,0.9958275382475661,1.2701525021629003,39.05097272573753,2.7105970958285326,4.460047357508538,4.965636020200822,0.020318581774374248,stress_35C_2C
10,3.988888888888889,3.9722222222222223,0.9958217270194987,1.2704080631244128,39.05773504329003,2.710321728193718,4.459345948093521,4.96195372196104,0.020352890153448152,stress_35C_2C
11,3.988888888888889,3.9722222222222223,0.9958217270194987,1.27056303205579,39.06315030477206,2.7101204242124743,4.4606471125372575,4.9581367794296565,0.02038005215907949,stress_35C_2C
12,3.9833333333333334,3.966666666666667,0.99581589958159,1.2708998877330535,39.07204149243166,2.709730324761275,4.459931939888522,4.954894135990951,0.020425043178022222,stress_35C_2C
13,3.9833333333333334,3.966666666666667,0.99581589958159,1.27110855424713,39.078687594325594,2.7094506538030156,4.461050167255357,4.95198646825512,0.020458379507821874,stress_35C_2C
